,testID,assessmentItemID,difficultyLevel,discriminationLevel,guessLevel,knowledgeTag,Timestamp
0,A080000001,A080001006,-0.3614321969,2.4510146616,0.0018917716,1395,2021-01-08 06:08:25.336946
1,A080000001,A080001004,-0.1775980396,1.7184785574,0.0094665167,4604,2021-01-08 06:08:25.336946
2,A080000001,A080001001,0.108587988,1.4262170348,0.0002319027,4604,2021-01-08 06:08:25.336946
3,A080000001,A080001005,-0.4233441729,2.7589733155,0.0056438077,1397,2021-01-08 06:08:25.336946
4,A080000001,A080001002,-0.8267063801,1.2267795204,0.0089780181,1356,2021-01-08 06:08:25.336946
5,A080000001,A080001003,-1.0418631488,3.5209637782,0.0104615279,1396,2021-01-08 06:08:25.336946
6,A080000002,A080002004,-1.2228018278,2.209605334,0.0002021735,1397,2021-01-08 06:08:25.336946
7,A080000002,A080002006,-0.3204179479,0.8072919022,0.0529031875,1395,2021-01-08 06:08:25.336946
8,A080000002,A080002001,-1.5673601412,1.4120919346,0.0001918356,4605,2021-01-08 06:08:25.336946
9,A080000002,A080002005,-0.543543032,1.4185731147,0.1928696861,1396,2021-01-08 06:08:25.336946
10,A080000002,A080002002,-1.435220859,1.1627949877,0.0003345529,1394,2021-01-08 06:08:25.336946
11,A080000002,A080002003,-0.7128962512,13.1550027561,0.1390016084,1396,2021-01-08 06:08:25.336946
12,A080000003,A080003003,1.2053885393,30.3220755565,0.2999998335,4657,2021-01-08 06:08:25.336946
13,A080000003,A080003004,1.2570043378,21.0811486423,0.3,1356,2021-01-08 06:08:25.336946
14,A080000003,A080003008,0.734551666,3.794865896,0.3,1356,2021-01-08 06:08:25.336946
15,A080000003,A080003005,0.0759075416,4.3799733279,0.1343438236,1356,2021-01-08 06:08:25.336946
16,A080000003,A080003001,0.267829293,3.2131025007,0.2937484948,1356,2021-01-08 06:08:25.336946
17,A080000003,A080003002,0.0448996907,3.2494228458,0.0018004479,1394,2021-01-08 06:08:25.336946
18,A080000003,A080003007,0.4010074511,6.4654241457,0.1908089322,1356,2021-01-08 06:08:25.336946
19,A080000003,A080003006,0.567816228,16.5722433699,0.2999999999,1356,2021-01-08 06:08:25.336946
20,A080000004,A080004008,-0.7490274771,1.7066815282,0.0102377169,1356,2021-01-08 06:08:25.336946
21,A080000004,A080004003,0.0143490407,0.8851903959,0.0003514597,1395,2021-01-08 06:08:25.336946
22,A080000004,A080004006,-0.3360998203,5.2890155385,0.1703265762,1356,2021-01-08 06:08:25.336946
23,A080000004,A080004005,-0.5529920304,1.2697851768,1.6075e-06,1395,2021-01-08 06:08:25.336946
24,A080000004,A080004007,-0.4353934748,1.7997368656,2.0306e-06,1356,2021-01-08 06:08:25.336946
