,learnerID,learnerProfile,testID,theta,realScore,Timestamp
0,A080000310,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
1,A080000216,M;S01;8,A080000001,-0.4185428181,0.5372087135,2021-01-08 06:08:25.336946
2,A080000277,M;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
3,A080000177,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
4,A080000208,F;S01;8,A080000001,0.0233493948,0.7123264464,2021-01-08 06:08:25.336946
5,A080000357,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
6,A080000120,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
7,A080000169,F;S01;8,A080000001,-0.7542260869,0.3891468996,2021-01-08 06:08:25.336946
8,A080000185,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
9,A080000143,F;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
10,A080000073,M;S01;8,A080000001,0.1186613617,0.7436098049,2021-01-08 06:08:25.336946
11,A080000396,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
12,A080000055,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
13,A080000272,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
14,A080000033,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
15,A080000251,M;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
16,A080000520,F;S01;8,A080000001,-0.7542260869,0.3891468996,2021-01-08 06:08:25.336946
17,A080000243,M;S01;8,A080000001,-0.1882535802,0.6337493119,2021-01-08 06:08:25.336946
18,A080000112,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
19,A080000437,F;S01;8,A080000001,0.1605150918,0.7564903741,2021-01-08 06:08:25.336946
20,A080000378,F;S01;8,A080000001,0.4634745877,0.8345334006,2021-01-08 06:08:25.336946
21,A080000210,M;S01;8,A080000001,-0.5612101786,0.4743867696,2021-01-08 06:08:25.336946
22,A080000337,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
23,A080000008,F;S01;8,A080000001,0.4634745877,0.8345334006,2021-01-08 06:08:25.336946
24,A080000416,F;S01;8,A080000001,-1.0326431323,0.273272684,2021-01-08 06:08:25.336946
25,A080000023,M;S01;8,A080000001,-0.7262493303,0.4013942366,2021-01-08 06:08:25.336946
26,A080000058,F;S01;8,A080000001,0.0970565132,0.7367554872,2021-01-08 06:08:25.336946
27,A080000061,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
28,A080000118,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
29,A080000231,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
30,A080000457,M;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
31,A080000048,M;S01;8,A080000001,-0.1882535802,0.6337493119,2021-01-08 06:08:25.336946
32,A080000089,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
33,A080000132,F;S01;8,A080000001,0.4634745877,0.8345334006,2021-01-08 06:08:25.336946
34,A080000043,M;S01;8,A080000001,-1.2240013521,0.2052928637,2021-01-08 06:08:25.336946
35,A080000238,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
36,A080000368,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
37,A080000248,F;S01;8,A080000001,-0.2047442657,0.6271554736,2021-01-08 06:08:25.336946
38,A080000547,M;S01;8,A080000001,0.0233493948,0.7123264464,2021-01-08 06:08:25.336946
39,A080000477,M;S01;8,A080000001,-0.5887337088,0.4621804011,2021-01-08 06:08:25.336946
40,A080000106,M;S01;8,A080000001,-0.3045914229,0.5860578454,2021-01-08 06:08:25.336946
41,A080000370,M;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
42,A080000261,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
43,A080000108,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
44,A080000135,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
45,A080000083,M;S01;8,A080000001,-0.4185428181,0.5372087135,2021-01-08 06:08:25.336946
46,A080000016,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
47,A080000081,M;S01;8,A080000001,-0.548451859,0.4800414996,2021-01-08 06:08:25.336946
48,A080000145,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
49,A080000136,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
50,A080000528,F;S01;8,A080000001,-0.3197961396,0.5796433126,2021-01-08 06:08:25.336946
51,A080000009,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
52,A080000348,F;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
53,A080000573,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
54,A080000405,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
55,A080000540,M;S01;8,A080000001,-0.1882535802,0.6337493119,2021-01-08 06:08:25.336946
56,A080000117,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
57,A080000004,F;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
58,A080000152,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
59,A080000490,F;S01;8,A080000001,-1.2240013521,0.2052928637,2021-01-08 06:08:25.336946
60,A080000209,M;S01;8,A080000001,-1.2240013521,0.2052928637,2021-01-08 06:08:25.336946
61,A080000278,F;S01;8,A080000001,-0.0743980848,0.6775070227,2021-01-08 06:08:25.336946
62,A080000173,F;S01;8,A080000001,-0.7542260869,0.3891468996,2021-01-08 06:08:25.336946
63,A080000334,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
64,A080000053,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
65,A080000063,M;S01;8,A080000001,0.0233493948,0.7123264464,2021-01-08 06:08:25.336946
66,A080000347,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
67,A080000032,M;S01;8,A080000001,-0.6919531164,0.4164826678,2021-01-08 06:08:25.336946
68,A080000154,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
69,A080000332,M;S01;8,A080000001,-0.4185428181,0.5372087135,2021-01-08 06:08:25.336946
70,A080000522,M;S01;8,A080000001,-0.1558580125,0.6465232803,2021-01-08 06:08:25.336946
71,A080000301,M;S01;8,A080000001,-0.1601468779,0.6448461968,2021-01-08 06:08:25.336946
72,A080000516,M;S01;8,A080000001,0.0233493948,0.7123264464,2021-01-08 06:08:25.336946
73,A080000304,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
74,A080000242,F;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
75,A080000114,M;S01;8,A080000001,-0.7542260869,0.3891468996,2021-01-08 06:08:25.336946
76,A080000314,M;S01;8,A080000001,-0.524807482,0.4905104741,2021-01-08 06:08:25.336946
77,A080000427,F;S01;8,A080000001,-0.3753632858,0.5559130939,2021-01-08 06:08:25.336946
78,A080000235,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
79,A080000227,F;S01;8,A080000001,-0.9188895883,0.3188853598,2021-01-08 06:08:25.336946
80,A080000013,F;S01;8,A080000001,0.1605150918,0.7564903741,2021-01-08 06:08:25.336946
81,A080000459,M;S01;8,A080000001,-0.4185428181,0.5372087135,2021-01-08 06:08:25.336946
82,A080000346,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
83,A080000075,M;S01;8,A080000001,0.1186613617,0.7436098049,2021-01-08 06:08:25.336946
84,A080000012,F;S01;8,A080000001,0.0233493948,0.7123264464,2021-01-08 06:08:25.336946
85,A080000454,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
86,A080000274,M;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
87,A080000270,F;S01;8,A080000001,-1.1901996119,0.2163455689,2021-01-08 06:08:25.336946
88,A080000414,M;S01;8,A080000001,0.4634745877,0.8345334006,2021-01-08 06:08:25.336946
89,A080000312,F;S01;8,A080000001,-0.7542260869,0.3891468996,2021-01-08 06:08:25.336946
90,A080000198,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
91,A080000269,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
92,A080000175,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
93,A080000279,F;S01;8,A080000001,-0.3452931878,0.5688077226,2021-01-08 06:08:25.336946
94,A080000046,M;S01;8,A080000001,-0.1882535802,0.6337493119,2021-01-08 06:08:25.336946
95,A080000258,M;S01;8,A080000001,-0.9188895883,0.3188853598,2021-01-08 06:08:25.336946
96,A080000253,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
97,A080000095,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
98,A080000268,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
99,A080000174,M;S01;8,A080000001,-0.6950556196,0.4151148776,2021-01-08 06:08:25.336946
100,A080000180,M;S01;8,A080000001,-0.1601468779,0.6448461968,2021-01-08 06:08:25.336946
101,A080000318,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
102,A080000354,M;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
103,A080000128,M;S01;8,A080000001,-0.1882535802,0.6337493119,2021-01-08 06:08:25.336946
104,A080000163,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
105,A080000449,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
106,A080000002,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
107,A080000079,F;S01;8,A080000001,0.1186613617,0.7436098049,2021-01-08 06:08:25.336946
108,A080000024,F;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
109,A080000161,M;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
110,A080000167,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
111,A080000040,M;S01;8,A080000001,-0.3495009416,0.5670105711,2021-01-08 06:08:25.336946
112,A080000403,F;S01;8,A080000001,0.1186613617,0.7436098049,2021-01-08 06:08:25.336946
113,A080000263,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
114,A080000661,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
115,A080000446,M;S01;8,A080000001,-0.1601468779,0.6448461968,2021-01-08 06:08:25.336946
116,A080000224,M;S01;8,A080000001,-1.5063437786,0.1308724553,2021-01-08 06:08:25.336946
117,A080000325,F;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
118,A080000171,M;S01;8,A080000001,-1.2606728314,0.1938105465,2021-01-08 06:08:25.336946
119,A080000333,M;S01;8,A080000001,-0.4960000457,0.5032378302,2021-01-08 06:08:25.336946
120,A080000360,F;S01;8,A080000001,0.3318924149,0.8038193982,2021-01-08 06:08:25.336946
121,A080000369,F;S01;8,A080000001,-0.4960000457,0.5032378302,2021-01-08 06:08:25.336946
122,A080000187,F;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
123,A080000093,M;S01;8,A080000001,0.4069060413,0.8218984011,2021-01-08 06:08:25.336946
124,A080000237,M;S01;8,A080000001,0.8951636204,0.9069463435,2021-01-08 06:08:25.336946
